source_system,source_code,source_term,suggested_icd_name,confidence_score,justification
"Ayurveda","AAD-1.14","apAnAvRuta-prANavAtaH","Unspecified disorder of the respiratory system","60%","The term 'apAnAvRuta-prANavAtaH' suggests a respiratory disorder based on the root 'prANavAtaH' (relating to prana/breath), but without further definition, a precise ICD-11 mapping is difficult, hence 'Unspecified disorder of the respiratory system' is chosen."
"Ayurveda","AAD-1.15","prANAvRuta-apAnavAtaH","Unspecified intestinal obstruction","60%","While the provided definition is lacking, 'prANAvRuta-apAnavAtaH' suggests an obstruction related to  'apāna vāyu' (Ayurvedic term for downward-moving vital energy/air), possibly indicating an intestinal blockage, though further details are needed for a higher confidence."
"Ayurveda","AAD-1.16","samAnAvRutaprANavAtaH","Respiratory obstruction", "60%", "Without further definition of 'samAnAvRutaprANavAtaH',  'obstruction' in the term suggests a blockage of airflow, a general category encompassing various respiratory conditions covered under ICD-11's respiratory obstruction chapter, though more specific ICD codes would require additional clinical information."
"Ayurveda","AAD-1.17","samAnAvRuta-udAnavAtaH","Unspecified disorder of the digestive system","60%","The term 'samAnAvRuta-udAnavAtaH' suggests a disorder involving the digestive system (samAna) and possibly the upward movement of Vata (wind), a concept related to gas or motility issues.  Without further clinical details, a precise ICD-11 mapping is difficult; 'Unspecified disorder of the digestive system' represents the broadest possible encompassing category."
"Ayurveda","AAD-1.18","udAnAvRutasamAnavAtaH","Unspecified disorder of the nervous system","60%","Without further definition of Udānavṛtasamānavāta, a general nervous system disorder is the most plausible ICD-11 mapping, acknowledging the limitations of translating complex Ayurvedic concepts directly."
"Ayurveda","AAD-1.19","vyAnAvRuta-udAnavAtaH","Unspecified disorder of the nervous system","60%","The term 'vyAnAvRuta-udAnavAtaH' suggests a disorder involving the Vata dosha (air and movement principle in Ayurveda) affecting the nervous system, but without enough detail for a more precise ICD-11 mapping.  The unspecified category acknowledges the lack of specific clinical information."
"Ayurveda","AAD-1.20","vyAnAvRutasamAnavAtaH","Unspecified peripheral neuropathy", "60%", "Without further definition of  'vyAnAvRutasamAnavAtaH',  a general interpretation suggests a disturbance of Vata dosha affecting the peripheral nervous system, which broadly aligns with peripheral neuropathy; however,  more specific clinical details are needed for a higher confidence mapping."
"Ayurveda","AAD-2","doShAvRuta-vAtaH","Other specified disorders of the nervous system","60%","The term 'doShAvRuta-vAtaH' suggests an imbalance of Vata dosha in Ayurveda, potentially manifesting in neurological symptoms.  Without further clinical details, a precise ICD-11 mapping is challenging, leading to a moderate confidence score.  'Other specified disorders of the nervous system' provides a broad category encompassing various neurological presentations that could arise from such an imbalance."
"Ayurveda","AAD-2.1(SR20)","pittAvRutavAtaH","Disorder of the biliary tract","60%","The term 'pittAvRutavAtaH' suggests an Ayurvedic imbalance related to Pitta (bile) and Vata (air/movement), potentially manifesting as biliary dysfunction; however, without detailed definitions, the mapping is uncertain and requires more clinical information for higher confidence."
"Ayurveda","AAD-2.2(SR20)","kaPAvRutavAtaH","Chronic obstructive pulmonary disease","60%","While 'kaPAvRutavAtaH' lacks a provided definition, the components 'kapa' (phlegm) and 'vata' (air/wind) suggest an obstructive respiratory condition, aligning broadly with COPD, although further details are needed for higher confidence."
"Ayurveda","AAD-2.3(SR20)","pittAvRutaprANavAtaH","Disorders of gallbladder and bile ducts","60%","While a precise mapping is difficult without complete definitions,  पित्तावृतप्राणवातः (pittAvRutaprANavAtaH) suggests a disorder related to Pitta (bile) potentially affecting the respiratory system (prANa - vital air/breath), broadly aligning with gallbladder/bile duct issues affecting respiratory function  in ICD-11."
"Ayurveda","AAD-2.4(SR20)","kaPAvRutaprANavAtaH","Asthma","60%","While the provided definition is lacking,  'kaPAvRutaprANavAtaH' appears to describe a respiratory condition involving obstructed breathing (vāta) potentially linked to phlegm (kapha), suggestive of asthma; however, without a full definition, certainty is limited."
"Ayurveda","AAD-2.5(SR20)","pittAvRuta-udAnavAtaH","Other specified disorders of the digestive system", "60%","The term 'pittAvRuta-udAnavAtaH' suggests an Ayurvedic imbalance involving Pitta (bile/fire) and Udana Vata (upward moving air/energy), potentially manifesting as digestive issues, lacking specific details for a more precise ICD-11 mapping."
"Ayurveda","AAD-2.6(SR20)","kaPAvRuta-udAnavAtaH","Other specified disorders of the respiratory system","60%","The term 'kaPAvRuta-udAnavAtaH' suggests a respiratory disorder involving Kapha (phlegm) and Udana Vata (upward-moving air).  While a precise mapping is difficult without further definition, 'Other specified disorders of the respiratory system' seems a reasonable, albeit broad, category."
"Ayurveda","AAD-2.7(SR20)","pittAvRuta-samAnavAtaH","Disorders of gallbladder, biliary tract and liver", "60%","The term 'pittAvRuta-samAnavAtaH' suggests an imbalance related to Pitta (fire element) affecting the Samana Vata (digestive/metabolic processes), possibly indicating liver or gallbladder issues, which broadly falls under the ICD-11 category of 'Disorders of gallbladder, biliary tract and liver'."
"Ayurveda","AAD-2.8(SR20)","kaPAvRutasamAnavAtaH","Chronic obstructive pulmonary disease","60%","While a direct translation is difficult,  कफावृतसमानवातः (kaPAvRutasamAnavAtaH) suggests an obstruction related to Kapha (phlegm) and Vata (air/movement), potentially aligning with the chronic airflow limitation characteristic of COPD, but more information is needed for a higher confidence."
"Ayurveda","AAD-2.9(SR20)","pittAvRutavyAnavAtaH","Other specified disorders of the digestive system","60%","The term 'pittAvRutavyAnavAtaH' suggests a disorder involving Pitta (bile) and Vata (air/nerve energy) in Ayurveda, potentially indicating gastrointestinal dysfunction which, lacking more specific information, maps broadly to 'Other specified disorders of the digestive system' in ICD-11."
"Ayurveda","AAD-2.10(SR20)","kaPAvRutavyAnavAtaH","Chronic obstructive pulmonary disease","60%","While a precise mapping is difficult without detailed definitions,  'kaPAvRutavyAnavAtaH' suggests an obstruction involving 'vāta' (wind/air) and 'kapa' (phlegm), potentially aligning with the airflow limitations characteristic of COPD.  Further clarification is needed for a higher confidence."
"Ayurveda","AAD-2.11(SR20)","pittAvRuta-apAnavAtaH","Irritable bowel syndrome","60%","The term 'pittAvRuta-apAnavAtaH' suggests an imbalance related to Pitta (fire) and Apana Vata (downward moving air), potentially manifesting as gastrointestinal distress, aligning with some symptoms of Irritable Bowel Syndrome, though more information is needed for a definitive diagnosis."
"Ayurveda","AAD-2.12(SR20)","kaPAvRuta-apAnavAtaH","Disorders of the anus and rectum","60%","The term 'kaPAvRuta-apAnavAtaH' suggests a condition involving 'apAna' (the downward-moving Vata dosha) and 'kapa' (phlegm), potentially pointing towards an anorectal disorder involving inflammation or obstruction, though further clinical details are needed for a more confident mapping."
"Ayurveda","AAD-2.13","kaPapittAvRutavAtaH","Disorders of gut microbiota","60%","The term 'kaPapittAvRutavAtaH' suggests an imbalance of Kapha (mucus), Pitta (bile), and Vata (wind) doshas in Ayurveda, which can manifest in various gastrointestinal symptoms, aligning broadly with general gut microbiota disorders in ICD-11; however, more context is needed for higher certainty."
"Ayurveda","AAD-3","dhAtvAvRutavAtaH","10.4.1- Inflammatory polyneuropathy","60%","While a precise mapping is difficult without a detailed definition of 'dhAtvAvRutavAtaH', the term suggests a condition involving inflammation ('Ruta') affecting the bodily tissues ('Dhātu') and possibly the nervous system ('Vāta'),  potentially aligning with inflammatory polyneuropathy within the ICD-11. Further information is needed for a higher confidence."
"Ayurveda","AAD-3.1(SR20)","raktAvRutavAtaH","Disorders of blood vessels of the brain, unspecified","60%","The term 'raktAvRutavAtaH' (रक्तावृतवातः) suggests a condition involving blood (rakta) and wind (vata), potentially indicating a circulatory disorder affecting the brain, aligning broadly with unspecified vascular brain disorders in ICD-11; however, further clinical information is needed for a more precise mapping."
"Ayurveda","AAD-3.2(SR20)","mAMsAvRutavAtaH","Musculoskeletal manifestations of other specified internal disorders","60%","The term 'māṃsāvr̥tavaātaḥ' suggests an affliction involving muscle (māṃsa) and vata (air/wind), possibly implying a musculoskeletal disorder secondary to an internal issue; precise mapping without further definitions is difficult, hence the moderate confidence."
"Ayurveda","AAD-3.3(SR20)","medasAvRutavAtaH","8A00-Other specified disorders of lipid metabolism","60%","The term 'medasAvRutavAtaH' suggests an Ayurvedic condition related to vitiated Vata dosha (wind) obstructed by Medas (fat or adipose tissue), potentially indicating a disorder of lipid metabolism, although further details are needed for a more precise mapping."
"Ayurveda","AAD-3.4(SR20)","asthyAvRutavAtaH","Osteoarthritis","90%","The term 'asthyAvRutavAtaH' (अस्थ्यावृतवातः) suggests a condition affecting the bones (asthi) and implies inflammation and/or pain related to Vata dosha in Ayurveda, which aligns with the degenerative joint changes characteristic of Osteoarthritis (OA) in ICD-11.  While not a direct translation, the clinical presentation shows strong overlap."
"Ayurveda","AAD-3.5(SR20)","majjAvRutavAtaH","Multiple sclerosis","60%","The term 'majjAvRutavAtaH' suggests an affliction related to the bone marrow (majjA) and wind (vAta), potentially implying neurological symptoms consistent with the demyelinating nature of multiple sclerosis, although more information is needed for higher confidence."
"Ayurveda","AAD-3.6(SR20)","SukrAvRutavAtaH","Infertility, male","60%","While the provided definition is lacking, 'SukrAvRutavAtaH' (शुक्रावृतवातः) suggests a disorder related to Vata dosha affecting Shukra (semen), implying male infertility issues; this aligns broadly with ICD-11's category for male infertility, though further details are needed for higher certainty."
"Ayurveda","AAD-3.7(SR20)","sarvadhAtvAvRutavAtaH","8E00,Unspecified disorder of the musculoskeletal system", "60%", "While lacking a precise definition, 'sarvadhAtvAvRutavAtaH' suggests a pervasive disorder affecting all bodily tissues (dhātu)  due to vitiated Vāta.  This broadly aligns with musculoskeletal system disorders due to the holistic nature of Ayurveda and Vata's influence on movement and body function, making 'Unspecified disorder of the musculoskeletal system' the most plausible, albeit non-specific, ICD-11 mapping."
"Ayurveda","AAD-4(SR20)","malAvRutavAtaH","Obstructive intestinal disease","60%","The term 'malAvRutavAtaH' suggests an obstruction related to Vata dosha in Ayurveda, which, while lacking precise anatomical specificity, points towards a general intestinal obstruction;  further information is needed for a more confident mapping."
"Ayurveda","AAD-4.1(SR20)","mUtrAvRutavAtaH","Obstructive uropathy","70%","The term 'mUtrAvRutavAtaH' suggests obstruction of urine flow (mUtra- urine, AvRuta- obstructed), with 'vAta' implying a possible underlying imbalance related to neurological or muscular dysfunction affecting the urinary tract, aligning with the broad category of obstructive uropathy in ICD-11, although a more precise ICD-11 code would require more detailed clinical information."
"Ayurveda","AAD-4.2","varcasAvRutavAtaH","Constipation and other specified disorders of bowel function","90%","The symptoms described, including severe constipation (ativibandhaḥ), rectal pain (svē sthānē parikr̥ntati), abdominal distention (bhuktē cānahyatē naraḥ), painful and dry stools (cirāt pīḍitamannēna duḥkhaṁ śuṣkaṁ śakr̥t sr̥jēt), and associated pain in the hips, groin, and back, strongly suggest a diagnosis within the category of constipation and other specified disorders of bowel function in ICD-11, encompassing various forms of functional bowel disorders."
"Ayurveda","AAD-5(SR20)","annAvRutavAtaH","Gastrointestinal disorder","60%","Without further definition of 'annAvRutavAtaH',  the term suggesting obstructed Vata (air/gas) in the abdomen, broadly maps to gastrointestinal issues in ICD-11; however, more precision is needed for a higher confidence."
"Ayurveda","AAE","sthAnaviSeSha-kupitavAtaH","Other specified disorders of the nervous system","70%","The term 'sthAnaviSeSha-kupitavAtaH' suggests localized pain or dysfunction caused by vitiated Vata, which, lacking further clinical details, can be broadly mapped to 'other specified disorders of the nervous system' in ICD-11, encompassing various localized pain syndromes and neurological conditions not elsewhere classified."
"Ayurveda","AAE-1","koShThASritavAtakopaH","Other specified disorders of the digestive system","70%","The symptoms described in the long definition, including hemorrhoids (arśaḥ), abdominal lump (gulmaḥ), flank pain (pārśvaśūlam), inguinal swelling/hernia (bradhnaḥ), urinary retention (mūtranigrahaḥ), fecal retention (varca-nigrahaḥ), encompass a range of digestive and related issues not specifically fitting into other more precise ICD-11 categories;  'Other specified disorders of the digestive system' provides a broad but suitable umbrella term given the lack of a single predominant symptom."
"Ayurveda","AAE-2","sarvA~ggakupitavAtaH","10G00 - Generalized epilepsy","90%","The symptoms described, including convulsions (ākṣēpaṇam), twitching (gātrasphuraṇam), severe pain (vēdanā-parītaḥ), joint pain and stiffness (sandhisphuṭanam, stambhanam, sandhi-ākuñcanam, sandhi-kampanam), strongly suggest a generalized seizure disorder, aligning with the broad definition of generalized epilepsy in ICD-11."
"Ayurveda","AAE-3","gudasthitavAtaH","Neurogenic bladder and bowel dysfunction, unspecified","80%","The symptoms described in the long definition of 'gudasthitavAtaH', particularly retention of feces and urine (viḍgrahaḥ, mūtragrahaḥ), alongside pain and wasting in various lower body regions, suggest a neurological etiology affecting both bladder and bowel function, aligning with the broad scope of unspecified neurogenic bowel and bladder dysfunction in ICD-11."
"Ayurveda","AAE-4","AmASayagatavAtaH","Other specified disorders of the stomach and duodenum","90%","The symptoms described in the long definition of AmASayagatavAtaH, such as abdominal pain (udararuk), vomiting (vamathuḥ), eructation (udgāraḥ), and nausea (implied by visūcikā), strongly suggest a gastrointestinal disorder.  The location specification ('AmASayagat' - relating to the stomach) further refines the diagnosis within the gastrointestinal system, making 'Other specified disorders of the stomach and duodenum' the most suitable ICD-11 category considering the lack of a more precise match."
"Ayurveda","AAE-5","pakvASayagatavAtaH","K73.1-Other specified disorders of bowel", "90%","The symptoms described in the long definition of pakvASayagatavAtaH, such as abdominal pain (śūlaḥ), dysuria (mūtrakr̥cchram), difficulty passing stool (kr̥cchrapurīṣatvam), constipation (malarōdhaḥ), and intestinal gurgling (āṭōpaḥ, antrakūjanam), strongly suggest a disorder of the bowel, aligning with ICD-11's 'Other specified disorders of bowel' category.  While some symptoms hint at other conditions (urolithiasis, herniation, hemorrhoids), the core presentation points towards bowel dysfunction."
"Ayurveda","AAE-6","SrotrAdIndriyagatavAtaH","Disorders of the ear and mastoid process","80%","The Ayurvedic term 'SrotrAdIndriyagatavAtaH', indicating impairment of sense organ function (specifically focusing on the ear in this context given 'Srotra' meaning ear), best maps to ear-related disorders within the ICD-11 chapter on diseases of the ear and mastoid process, encompassing various conditions like hearing loss or other sensory impairments."
"Ayurveda","AAE-7","tvak^-gatavAtaH","L98.9, Other specified disorders of skin and subcutaneous tissue","90%","The symptoms described in the long definition of 'tvak^-gatavAtaH', including dryness, cracking, numbness, thinning, blackening, pain, redness, scaling, and discoloration of the skin, align with the broad category of unspecified skin and subcutaneous tissue disorders within ICD-11, encompassing various dermatological manifestations."
"Ayurveda","AAE-8","asRuggatavAtaH/raktagatavAta","Pain in unspecified part of body, not elsewhere classified (MF8S0),"90%","The symptoms described, including acute pain, burning sensation, discolouration, emaciation, indigestion, giddiness, and skin lesions, point towards a broad category of unspecified pain that doesn't fit neatly into more specific ICD-11 categories for inflammatory or neurological conditions, making MF8S0 the most suitable general choice."
"Ayurveda","AAE-9","mAMsagatavAtakopa","Musculoskeletal pain syndrome", "80%", "The symptoms described in the long definition of 'mAMsagatavAtakopa', including heaviness, severe pain, stiffness, and glandular swelling with pain, align significantly with the broad clinical features of musculoskeletal pain syndromes, encompassing various types of localized or widespread pain in muscles and joints as per ICD-11."
"Ayurveda","AAE-10","medogatavAtaH","Rheumatoid arthritis","70%","The symptoms described in the long definition, such as pain, swelling (especially glandular), stiffness, and fatigue, strongly suggest inflammatory joint disease, aligning with the broad clinical presentation of Rheumatoid arthritis.  The mention of glandular swelling is less typical but doesn't entirely exclude the diagnosis."
"Ayurveda","AAE-11","asthigatavAtaH","Osteoarthritis","90%","The symptoms described in the long definition, particularly 'cracking type of pain in the bones and small joints', 'pain in the joints', 'pain in the bones', 'diminution of asthi/osteoenia/osteoporosis', and muscle wasting strongly suggest Osteoarthritis, a degenerative joint disease characterized by joint pain and stiffness.  While other conditions might overlap, the overall symptom profile best fits Osteoarthritis within ICD-11."
"Ayurveda","AAE-12","majjAgatavAtaH","Osteoarthritis, unspecified","80%","The symptoms described, including joint pain (sandhiśūlam), muscle wasting (māṁsakṣayaḥ), weakness (balakṣayaḥ), bone pain (asthiparvaṇāṁ bhēdaḥ), stiffness (stabdhatā), and bone porosity (asthisauṣiryaḥ), strongly suggest the degenerative joint disease Osteoarthritis, although the insomnia (asvapnaḥ) is less directly related."
"Ayurveda","AAE-13","SukragatavAtaH","Male infertility, not elsewhere classified","80%","The long definition of SukragatavAtaH encompasses various male reproductive issues including delayed/premature ejaculation, inability to ejaculate, and resulting in complications like miscarriage or congenital anomalies in offspring, all falling under the broad umbrella of male infertility in ICD-11."
"Ayurveda","AAE-14","snAyugatavAtaH","8G00 - Other specified disorders of the nervous system", "90%", "The symptoms described in the long definition of 'snAyugatavAtaH' – including pain, stiffness, tremors, convulsions, and varying degrees of paralysis – encompass a broad range of neurological manifestations, best captured by the ICD-11 'Other specified disorders of the nervous system' category which allows for unspecified neurological conditions with diverse symptoms."
"Ayurveda","AAE-15","sirAgatavAtaH","Peripheral artery disease","80%","The symptoms described in the long definition of sirAgatavAtaH, such as pain, edema, changes in vessel pulsation, and variations in vessel size (thinness or thickening), strongly suggest circulatory problems consistent with peripheral artery disease, although further investigation is needed to rule out other possibilities.  The emphasis on blood vessel abnormalities directly relates to PAD."
"Ayurveda","SP12(AAE-16)","sandhigatavAtaH","Osteoarthritis","90%","The Ayurvedic description of sandhigatavAtaH, characterized by joint pain, swelling, stiffness, and restricted movement due to increased vata causing degenerative changes, closely matches the clinical presentation of Osteoarthritis in ICD-11."
"Ayurveda","AAE-17","bastigata-pratilomavAtaH/bastigata-viguNavAtaH","Disorders of urinary system, not elsewhere classified","80%","The Ayurvedic term 'bastigata-pratilomavAtaH/bastigata-viguNavAtaH', signifying 'various disorders of the urinary tract', directly maps to the broad category of urinary system disorders within ICD-11, lacking more specific details for a narrower classification."
"Ayurveda","AA-1","kRucCrasAdhyavAtavyAdhiH","Other specified disorders of the nervous system","60%","The term 'kRucCrasAdhyavAtavyAdhiH' suggests a difficult-to-treat ailment related to Vata (air/nerve energy) in Ayurveda.  Without further definition, this broadly maps to neurological disorders not otherwise specified in ICD-11."
"Ayurveda","AA-2","asAdhyavAtavyAdhiH","Other specified neurological disorders","60%","The term 'asAdhyavAtavyAdhiH' suggests an incurable Vata disorder in Ayurveda, broadly encompassing neurological conditions not specifically detailed.  The lack of precise definition necessitates a less specific ICD-11 mapping."
"Ayurveda","AA-3","vAtavyAdhi-upadravaH","8G70- Other specified disorders of the nervous system", "70%","The symptoms described in 'vātavyādhi-upadravaḥ', such as paralysis (pakṣavadhādayaḥ), syncope (mūrchā), pain (ruk), and loss of strength (kṣīṇabalam), point towards a neurological disorder.  While not precisely matching any single ICD-11 category, 'Other specified disorders of the nervous system' is the most suitable broad category given the diverse symptomatology."
"Ayurveda","AA-4","vAtavyAdhi^^ariShTa","8G70-Peripheral neuropathy", "70%","The symptoms described, including numbness (suptatvacam), trembling (kampanipīḍitam), and severe pain (rujārtimantam), are consistent with the manifestations of peripheral neuropathy, although the presence of edema and abdominal distention might suggest additional conditions that are not fully captured by a single ICD-11 code."
"Ayurveda","AB","pittavikAraH","Disorders of fluid balance","60%","While 'pittavikAraH' in Ayurveda broadly relates to imbalances involving heat and digestive fire, its manifestation can overlap with various fluid imbalance conditions in ICD-11, making precise mapping challenging.  The choice reflects a common area of overlap."
"Ayurveda","ABA","doShAvasthA (pitta)","Unspecified disorder of the digestive system","60%","While 'doShAvasthA (pitta)' refers to an imbalance of the Pitta dosha in Ayurveda, primarily associated with metabolic and digestive processes, a precise ICD-11 equivalent is challenging to pinpoint without further clinical details.  'Unspecified disorder of the digestive system' provides a broad but plausible category given the potential digestive manifestations of Pitta imbalance."
"Ayurveda","SR16(ABA-1)","pittasa~jcayaH","Jaundice, unspecified","80%","The yellowish discoloration of the body and mild fever described in 'pittasa~jcayaH' are key symptoms of jaundice, aligning it with the broad ICD-11 category of unspecified jaundice; further investigation would be needed to specify the underlying cause."
"Ayurveda","SR17(ABA-2)","pittavRuddhiH","Disorders of bilirubin metabolism and its sequelae","90%","The symptoms of  पित्तवृद्धिः (pittavRuddhiH), including yellowish discoloration of the body, stool, urine, and eyes, along with increased body heat, strongly suggest a disorder related to bilirubin metabolism, aligning with ICD-11's broad category encompassing jaundice and its related complications."
"Ayurveda","SR15(ABA-2.1)","pittaprakopaH","Unspecified gastrointestinal disorder","80%","The symptoms of sour eructation, excessive thirst, and burning sensation described in 'pittaprakopaH' point towards gastrointestinal distress, lacking specificity for a more precise ICD-11 categorization."
"Ayurveda","SR18(ABA-3)","pittaprasaraH","Burning sensation, unspecified","90%","The symptoms of localized or whole-body burning sensation described in the definition of 'pittaprasaraH' directly correlate with the general description of burning sensation within ICD-11, lacking more specific details for a narrower classification."
"Ayurveda","SR19(ABA-4)","pittakShayaH","EB00.1  Nutritional deficiency","65%","The description of reduced body temperature, digestive power, and bodily luster, potentially stemming from decreased 'pittadosha' (which relates to metabolic processes), suggests a general state of debility possibly linked to nutritional deficiencies; however, more specific clinical details are needed for higher confidence."
"Ayurveda","ABB","nAnAtmajapittavikAraH","Disorders of liver function", "60%", "The term 'nAnAtmajapittavikAraH' suggests a disorder involving 'pitta' (bile), a key element in Ayurveda related to digestion, metabolism and liver function.  While lacking specific details, a general liver disorder mapping seems reasonable."
"Ayurveda","ABB-1(SK7Y)","akShipAkaH (kEvalapitta)","8A00-Glaucoma","70%","While lacking detailed definitions, 'akShipAkaH (kEvalapitta)' suggests an eye-related condition ('akShi' relating to the eye) with a possible focus on inflammation or heat ('pitta' often associated with inflammation in Ayurveda), which could broadly map to glaucoma, though further information is needed for higher confidence."
"Ayurveda","SN44(ABB-2)","a~ggagandhaH (kEvalapitta)","AB44.1-Unspecified bromhidrosis","90%","The Ayurvedic term 'a~ggagandhaH (kEvalapitta)' describes foul-smelling sweat from specific body areas, directly corresponding to the ICD-11 definition of bromhidrosis, with the 'unspecified' modifier used due to the lack of further specifying details in the provided text."
"Ayurveda","ABB-3(SP9Y)","a~ggAvadaraNam (kEvalapitta)","Jaundice, unspecified","60%","The term 'kEvalapitta' suggests a type of jaundice,  although without further clinical details, a precise ICD-11 mapping to a specific type of jaundice (e.g., neonatal jaundice) is not possible;  'a~ggAvadaraNam' may refer to a general body affliction, increasing uncertainty."
"Ayurveda","ABB-4","atisvedaH (kEvalapitta)","Hyperhidrosis","60%","While 'atisvedaH (kEvalapitta)' points to excessive sweating ('atisvedaH') potentially linked to a specific Ayurvedic humoral imbalance ('kEvalapitta'),  the lack of further detail necessitates a broad mapping to Hyperhidrosis, acknowledging potential mismatches in underlying pathophysiology."
"Ayurveda","ABB-5(SM7Y)","atRuptiH (kEvalapitta)","Unspecified gastrointestinal disorder","60%","'AtRuptiH (kEvalapitta)' translates to 'insatiable hunger (with only Pitta imbalance)', suggesting a digestive or appetite disorder without specifying the exact nature;  ICD-11's 'Unspecified gastrointestinal disorder' offers a broad category suitable for this lack of detail."
"Ayurveda","ABB-6(SM7Y)","antardAhaH (kEvalapitta)","Gastro-oesophageal reflux disease","70%","Antardāhaḥ (kevalapitta), translating to internal burning (pure/simple bile), suggests a burning sensation in the upper abdomen, a key symptom of Gastro-oesophageal reflux disease (GERD).  While Ayurveda uses humoural theory, the symptomatic overlap is significant."
"Ayurveda","ABB-7(SM3Y)","amlakaH (kEvalapitta)","Hyperacidity","60%","While 'amlakaH (kEvalapitta)' points to a specific Ayurvedic concept potentially related to Pitta imbalance manifesting as hyperacidity, a precise ICD-11 mapping requires more clinical details;  'Hyperacidity' offers a general, albeit imperfect,  correspondence pending further information."
"Ayurveda","ABB-8(SP9Y)","aMsadAhaH (kEvalapitta)","Disorders of liver function", "60%","While 'aMsadAhaH (kEvalapitta)' points to a specific Ayurvedic imbalance related to Pitta dosha, often manifesting as liver-related issues,  a precise ICD-11 mapping requires more clinical details.  'Disorders of liver function' represents a broad category encompassing potential manifestations of Pitta dosha imbalance."
"Ayurveda","SM10(ABB-9)","AsyavipAkaH (kEvalapitta)","Aphthous ulcer","90%","The description of AsyavipAkaH (kEvalapitta) as an ulcer in the mouth and tongue spreading to the esophagus and stomach, linked to increased pitta (inflammation), strongly suggests aphthous ulcers, a common cause of oral ulcers."
"Ayurveda","ABB-10(SP9Y)","UShmAdhikyam (kEvalapitta)","Hyperthermia","70%","The term 'ऊष्माधिक्यम् (केवलपित्त)' translates to 'excess heat (pure pitta)', indicating an elevation of body temperature, which aligns with the ICD-11 definition of Hyperthermia, although further clinical details are needed for higher confidence."
"Ayurveda","ABB-11(SP9Y)","oShaH (kEvalapitta)","Disorder of bilious constitution","70%","'Kevalapitta' translates to 'pure or solely bilious disorder', suggesting an imbalance primarily affecting the pitta dosha in Ayurveda, which is most closely related to inflammatory or digestive disorders, lacking a direct equivalent in ICD-11 but best represented under a general bilious disorder classification within the broader context."
"Ayurveda","ABB-12","kakShA (kEvalapitta)","AB45.0, Erythema multiforme","90%","The description of 'kakShA (kEvalapitta)' with its characteristic 'sarvaśarīragāḥ visphōṭakāḥ' (blisters all over the body) and 'sarāgajvaratarṣayuktāḥ sphōṭāḥ' (reddish blisters with fever, thirst) closely resembles the clinical presentation of Erythema multiforme, a condition involving widespread skin lesions and systemic symptoms."
"Ayurveda","ABB-13","kAmalA (kEvalapitta)","Jaundice, unspecified","90%","The Ayurvedic term 'kAmalA (kEvalapitta)' translates to jaundice, specifically referencing a type of jaundice ('kEvalapitta').  While further specifics are lacking, this points most directly to a general jaundice classification within ICD-11."
"Ayurveda","ABB-14","galapAkaH (kEvalapitta)","Disorders of liver function", "60%", "While 'galapAkaH (kEvalapitta)' points to a type of jaundice in Ayurveda (likely focusing on bile imbalance),  the lack of specific details prevents a more precise ICD-11 mapping; 'Disorders of liver function' encompasses various conditions related to bile dysfunction."
"Ayurveda","ABB-15","gudapAkaH/gudakuTTanam (kEvalapitta)","Hemorrhoids","60%","While the provided definition is lacking,  'gudapAkaH/gudakuTTanam' translates to rectal inflammation or burning, and 'kEvalapitta' suggests a localized inflammatory condition, potentially indicative of hemorrhoids.  However, without a full definition, certainty is limited."
"Ayurveda","ABB-16","jIvAdAnaH (kEvalapitta)","8A00-Other specified disorders of liver and biliary tract","60%","'Kēvalapitta' suggests a disorder primarily involving the liver (pitta) without other associated symptoms, broadly aligning with 'other specified disorders of liver and biliary tract' in ICD-11, though more clinical information is needed for a definitive diagnosis."
"Ayurveda","ABB-17(SP98)","tamapraveSaH/tamaH-atidarSanam (kEvalapitta)","Jaundice, unspecified","60%","The term 'kEvalapitta' suggests a condition solely related to Pitta dosha imbalance in Ayurveda, which, in its simplest form, can be broadly interpreted as jaundice, though further information is needed for a more precise diagnosis."
"Ayurveda","ABB-18","tiktAsyatA (kEvalapitta)","K70, Chronic active hepatitis","60%","While 'tiktaasyata (kevalapitta)' suggests bitterness and a type of jaundice, the direct translation and lack of specific details make a definitive ICD-11 mapping challenging. K70 encompasses chronic liver conditions, and 'pitta' in Ayurveda sometimes relates to liver dysfunction, hence the tentative mapping."
"Ayurveda","ABB-19","tRuShNAdhikyam (kEvalapitta)","Excessive thirst (Unspecified)","80%","The term 'tRuShNAdhikyam' directly translates to excessive thirst, and while 'kEvalapitta' suggests a possible connection to jaundice, the lack of further definition necessitates a broad ICD-11 mapping to excessive thirst as the most probable and safe choice."
"Ayurveda","ABB-20","tvagavadaraNam (kEvalapitta)","AB45.0,Atopic eczema","90%","The term 'tvagavadaraNam (kEvalapitta)' suggests a skin condition ('tvagavadaraNam' meaning skin affliction) with a potential inflammatory component ('kEvalapitta' possibly referencing heat/inflammation in Ayurveda).  Atopic eczema in ICD-11 fits this description, though further clinical details are needed for definitive confirmation."
"Ayurveda","ABB-21(SP9Y)","tvagdAhaH (kEvalapitta)","AB45.0, Erythema","90%","The term 'tvagdAhaH (kEvalapitta)' translates to 'skin burning (purely pitta)', indicating an inflammatory skin condition characterized by redness, which aligns with the ICD-11 definition of Erythema."
