suggested_icd_name,ayurveda_term,ayurveda_code,ayurveda_confidence,ayurveda_justification,siddha_term,siddha_code,siddha_confidence,siddha_justification,unani_term,unani_code,unani_confidence,unani_justification
Diabetes mellitus with complications,prameha-upadravaH,EF-2.7,70%,"While 'pramaheha-upadravaH' broadly refers to complications of diabetes in Ayurveda, the exact nature of the complications requires further information.  The ICD-11 code would thus depend on the specific complications, making 'Diabetes mellitus with complications' the most general but potentially appropriate mapping.",,,,,,,,
"Diabetes mellitus type 2, unspecified",asAdhya-pramehapiDakA,EF-2.5.12,60%,"The term 'asAdhya-pramehapiDakA' suggests an incurable form of prameha (diabetes) with complications ('piDakA' possibly indicating a secondary complication or skin manifestation),  pointing most likely towards a chronic and possibly complicated type 2 diabetes, though without further detail, certainty is limited.",,,,,,,,
Diabetes mellitus type 2 with complications,vAtaja prameha upadrava,EF-2.10,70%,"'Vataja prameha' suggests a type of diabetes, and 'upadrava' indicates complications.  While Ayurveda's categorization differs from ICD-11, the combination points most strongly towards type 2 diabetes with its associated complications, given 'Vataja' often relates to metabolic imbalances.",,,,,,,,
"E78.0, Obesity due to excess energy intake and low energy expenditure",medorogaH,SP64 (EF-3),90%,"The Ayurvedic term 'medorogaH', signifying excessive generalized fat accumulation due to increased kaphadosha (related to body fluids and fat tissue), directly corresponds to ICD-11's E78.0, which defines obesity based on energy imbalance.",,,,,,,,
E85-Severe obesity,asAdhya-medorogaH,EF-3.1,60%,"The term 'asAdhya-medorogaH' suggests an incurable or difficult-to-treat form of medoroga (obesity). While not a direct equivalent, severe obesity is the closest ICD-11 category capturing the essence of an intractable obesity condition.",,,,,,,,
Skin ulcer,pramehetara-piDakA,EF-4,60%,"Without further definition of 'pramahetara-piDakA',  the term, suggesting a non-diabetic ulcer ('pramahe' referencing diabetes), points towards a general skin ulcer as the most probable ICD-11 equivalent, though other skin conditions remain possibilities.",,,,,,,,
EB17.1  Disorders of sweating,svedavaha-srotoduShTi,SR5C (EF-5),90%,"The Ayurvedic description of 'svedavaha-srotoduShTi' encompassing absent, excessive, or altered sweating, roughness, smoothness, burning, and horripilation directly correlates with the ICD-11 category encompassing various sweating disorders, making it the most specific and appropriate match.",,,,,,,,
Disorders of bone density and structure,asthivahasrotovikAraH,EG,70%,"The term 'asthivahasrotovikAraH' suggests a disorder related to the bone (asthi) and its channels (sroto), implying a problem with bone structure or density,  matching broadly with ICD-11's category for bone disorders.  More specific information is needed for a higher confidence score.",,,,,,,,
1B.49- Fibrodysplasia ossificans progressiva,asthivahasrotaduShTiH,SR54 (EG-1),90%,"The symptoms described, including extra growth of bone and teeth, deformities in nails and hair, and severe localized and generalized body pains, strongly suggest Fibrodysplasia ossificans progressiva, a rare genetic disorder characterized by progressive heterotopic ossification.",,,,,,,,
Unspecified disorder of bone marrow,majjAparipAkaH,EH-2 (SP0Y),60%,"The term 'majjAparipAkaH' (मज्जापरिपाकः) suggests an abnormality or imperfect maturation ('aparipaka') of the bone marrow ('majja'), which, while lacking specific detail, broadly relates to unspecified disorders of bone marrow within the ICD-11 hematological system, lacking more precise information for finer classification.",,,,,,,,
Disorders of male genital organs and male breast,SukravahasrotovikAraH,EI,60%,"The Sanskrit term शुक्रवहस्रोतोविकारः (SukravahasrotovikAraH) refers to disorders of the Shukra vaha sroto (spermatic duct/reproductive system in Ayurveda).  While lacking specific details, this broadly maps to ICD-11's category encompassing male genital organ issues.",,,,,,,,
"6E00, Erectile dysfunction",klaibyam,SN02 (EI-2),90%,"The Ayurvedic term 'klaibyam', defined as inability to engage in sexual activity despite desire due to erectile dysfunction, directly corresponds to the ICD-11 code 6E00, which specifically addresses this condition.",,,,,,,,
6A00.0 - Other specified infections of the penis,dhvajaBa~ggajaklaibyam,EI-2.2,90%,"The extensive description of dhvajaBa~ggajaklaibyam, including edema, pain, redness, blisters, inflammation, ulcers, various discharges (including purulent), and severe burning sensations in the penis and surrounding areas, strongly suggests a severe infective process of the penis, fitting best within the 'Other specified infections of the penis' category of ICD-11.",,,,,,,,
MG9A.00 - Ageing-related frailty,jarAjanyaklaibyam,EI-2.3,90%,"The Ayurvedic term 'jarAjanyaklaibyam' describes symptoms strongly indicative of frailty, including weakness (daurbalyam), excessive tissue depletion (atyarthaṁ dhātukṣayam), susceptibility to illness, loss of strength (balakṣayaḥ), and general debility, all key features of age-related frailty in ICD-11.",,,,,,,,
Disorders of bile secretion and flow,paittikaklaibyam,EI-2.5,60%,"While 'paittikaklaibyam' points to a deficiency related to Pitta (bile) in Ayurveda,  precisely mapping it to a single ICD-11 code requires more clinical detail; however, disorders of bile secretion and flow seems a reasonable preliminary association given the context.",,,,,Ta‘dīl-i-Ṣafrā’,O-264,90%,"The Unani term 'Ta‘dīl-i-Ṣafrā’' focuses on regulating or moderating yellow bile, which directly relates to the bile secretion and flow processes;  ICD-11's 'Disorders of bile secretion and flow' encompasses dysfunctions in this area, making it the most appropriate match."
ED5.A0 - Postprocedural complications of surgery,sirACedajanyaklaibyam,EI-2.6,70%,"The term 'sirachedajanayaklaibyam' (सिराछेदजन्यक्लैब्यम्), suggesting weakness resulting from a surgical procedure (likely venesection, 'sirached' referring to incision of a vein), points to post-procedural complications as the most likely ICD-11 equivalent, though without more detail on symptoms the confidence is reduced.",,,,,,,,
Erectile dysfunction,li~gganASaH,HG-3 (SK7Y),60%,"The vernacular term 'लिङ्गनाशः' (li~gganASaH) translates to 'loss of linga' or 'loss of penis function', which is strongly suggestive of erectile dysfunction, although without further definition, other conditions cannot be entirely ruled out.",,,,,Istirkhā’ al-Qaḍīb,H-2,95%,"The Unani term 'Istirkhā’ al-Qaḍīb', meaning 'flaccidity of the penis', directly corresponds to the clinical presentation and definition of Erectile Dysfunction as classified in ICD-11."
6H70- Sexual dysfunction due to other psychological factors,IrShyakaH,EI-2.7.1,90%,"The description of IrShyakaH, focusing on sexual arousal triggered by observing others' sexual activity, points to a psychological basis for sexual dysfunction, aligning with ICD-11's 'Sexual dysfunction due to other psychological factors'.",,,,,,,,
"6A71, Sexual dysfunction",kumBIkaH,EI-2.7.3,60%,"The description points to a specific sexual dysfunction related to the need for anal stimulation for intercourse, aligning with ICD-11's broad category of sexual dysfunction, though more precise ICD-11 codes require additional clinical details and might include paraphilic disorders depending on context.",,,,,,,,
6E10. Other specified paraphilic disorders,sugandhikaH,EI-2.7.4,60%,"The description of 'sugandhikaH' points to a paraphilic disorder involving sexual arousal from the smell of genitals, aligning with the ICD-11 category 'Other specified paraphilic disorders' although a precise match is difficult without further clinical detail.",,,,,,,,
Female hypogonadism,ShaNDaH,EI-2.7.5,90%,"The symptoms of amenorrhoea, absence of breasts, and dyspareunia (implied by 'roughness of yoni during coitus') strongly suggest a hormonal deficiency consistent with female hypogonadism, encompassing multiple potential ICD-11 sub-categories within this broader diagnosis.",,,,,,,,
Disorders of sex development,vArtA,EI-2.7.7,70%,"The description 'a child who is not a complete female but only having the feminine characteristics in abundance' points towards a condition involving ambiguous genitalia or atypical sexual development, aligning with the broad scope of Disorders of sex development in ICD-11, though further investigation might be needed for a more precise sub-classification.",,,,,,,,
"Male Infertility, unspecified",retodoShaH,EI-3,60%,"While 'retodoShaH' (रेतोदोषः) in Ayurveda points to disorders of reproductive fluids in men,  the lack of specific definition prevents a more confident mapping to a more precise ICD-11 code;  'Male Infertility, unspecified' is the most encompassing option.",,,,,,,,
Other specified male infertility,vAtaduShTa-retas,EI-3.1,80%,"The Ayurvedic description of 'vātaduShTa-retas' encompassing difficult emission, reduced volume, and discolored semen with pain directly correlates with various aspects of male infertility not specifically categorized elsewhere in ICD-11, fitting best under 'Other specified male infertility'.",,,,,,,,
NM6B00-Other male infertility,tanu-retas,EI-3.1.1,90%,"The Ayurvedic description of 'tanu-retas'—painful, scanty ejaculation and impaired fertility—directly correlates with the broad definition of other male infertility within the ICD-11 chapter on male infertility, encompassing various etiologies aligning with the described symptoms.",,,,,,,,
"Male hypogonadism, unspecified",Penila-retas,EI-3.1.3,90%,"The description of 'Penila-retas' encompassing painful ejaculation, reduced semen volume, and infertility directly points to the compromised male reproductive function characteristic of hypogonadism, encompassing various etiologies not specified here.",,,,,,,,
Disorders of semen and ejaculate,vivarNa-retas,EI-3.2.1,70%,"The described symptoms of altered semen color (blue and yellow), excessive heat, and burning sensation point towards a disorder of semen and ejaculate, though further investigation would be needed for precise diagnosis within this broad category.",,,,,Taghlīẓ-i-Manī,O-381,90%,"'Taghlīẓ-i-Manī' directly refers to altering the consistency of semen, a characteristic falling under the broad category of semen and ejaculate disorders within ICD-11;  while not specifying a precise disorder, it's the most accurate overarching category."
86.5 - Male infertility,kaPaduShTa-retas,EI-3.3,90%,"The Ayurvedic description of 'kaPaduShTa-retas' points to seminal abnormalities including obstruction (baddhamārgam), altered consistency (atyarthapicchilam), and altered appearance (ślēṣmavarṇavēdanam), all suggestive of male infertility as defined by ICD-11 chapter 17, particularly focusing on factors impacting semen quality and passage.",,,,,,,,
6A60 - Other specified disorders of male genital organs,atipicCila-retas,EI-3.3.1,80%,"The description points to an issue with seminal passage ('baddhamārgam') and abnormal seminal fluid consistency ('atyarthapicchilam'), suggesting a disorder of the male genital organs, not specifically infectuous or neoplastic, hence 'other specified disorders' is the most fitting category.",,,,,,,,
6A60- Hematospermia,raktAnvita-retas,EI-3.4,90%,"The Ayurvedic description of 'raktAnvita-retas' clearly indicates the presence of blood in semen (hematospermia), matching the ICD-11 code 6A60 precisely, although further investigation may be necessary to rule out other possibilities based on the additional symptoms mentioned.",,,,,,,,
6A00.0 (Hematospermia),anyadhAtUpahita-retas,EI-3.5,90%,"The Ayurvedic term 'anyadhAtUpahita-retas', describing semen ejaculated with blood (rudhirānvitam śukraṁ pravartatē), directly corresponds to the ICD-11 definition of hematospermia, which is characterized by the presence of blood in the ejaculate.",,,,,,,,
Disorders of semen and ejaculation,avasAdi-retas/grathita-retas,EI-3.6,90%,"The Ayurvedic description of 'avasAdi-retas/grathita-retas' detailing painful ejaculation, clumpy semen, and semen sinking in water points strongly towards a disorder of semen and ejaculation, encompassing various potential underlying conditions within this ICD-11 category.",,,,,,,,
N95.1- Male hypogonadism,vAtapittaduShTa-retas,EI-3.7,90%,"The Ayurvedic term 'vAtapittaduShTa-retas', signifying diminished semen due to vitiated Vata and Pitta doshas, points towards reduced spermatogenesis and potentially hormonal imbalances, aligning with the ICD-11 code for male hypogonadism which encompasses various causes of reduced testosterone and impaired reproductive function.",,,,,,,,
86.0 - Male infertility,vAtakaPaduShTa-retas,EI-3.8,70%,"The term 'vātakapaḍuṣṭa-retaḥ' describes impaired semen quality ('knotty' suggesting impaired morphology or motility), aligning with the ICD-11 category of male infertility, although further clinical details are needed for a higher confidence.",,,,,,,,
86.5 - Other specified male genital disorders,raktapittaduShTa-retas,EI-3.10,90%,"The description of 'pus-like semen discharge' (pūyābham) points towards an inflammatory condition affecting the male genital system, fitting broadly within 'Other specified male genital disorders' in ICD-11, though more specific diagnosis requires further clinical details.",,,,,,,,
Skin Diseases due to parasites,SUkarogaH,EI-4 (SN00),60%,"Without further definition of SUkarogaH (शूकरोगः), its association with skin conditions caused by parasites is a plausible interpretation, considering the limited information available, though more specifics are needed for higher confidence.",,,,,,,,
Unspecified disorder of the male genital organs,alajI-SUkarogaH,EF-2.6.5,60%,"Without further definition of 'alajI-SUkarogaH',  a general mapping to male genital organ disorders is the most prudent approach, acknowledging the limitations of incomplete information.",,,,,,,,
Unspecified painful disorder of the digestive system,avapATikA,EI-4.3,50%,"Without further information on the definition of 'avapATikA', a general mapping to a digestive disorder is a tentative best guess, acknowledging significant uncertainty.",,,,,,,,
Unspecified mental disorder,prAkRuta-vihAraH,VH-4,60%,"Without further definition of  'prAkRuta-vihAraH', a general mapping to an unspecified mental disorder is the most cautious approach, acknowledging that the term might encompass various conditions not specifically detailed within the ICD-11.",Aiyam,ZAC,25%,"Without further information on the meaning of 'Aiyam' in Siddha medicine, a general categorization as an unspecified mental disorder is a cautious, low-confidence mapping, acknowledging the limitations of the input data.",,,,
Unspecified hydrocele,kumBikA,EI-4.5,50%,"Without further information on the definitions of 'kumBikA' and its clinical presentation,  a hydrocele (swelling of the scrotum) is a plausible, albeit uncertain, mapping based on potential phonetic similarities and the general nature of Ayurvedic classifications.  More information is needed for a higher confidence.",,,,,,,,
Unspecified disorder of the musculoskeletal system,grathitaH,EI-4.6,30%,"Without further definition of 'grathitaH', a general musculoskeletal disorder is the most plausible ICD-11 mapping, acknowledging significant uncertainty.",,,,,,,,
Unspecified urinary tract infection,mUtrAtItaH,EJ-3.5 (SM88),60%,"The term 'mUtrAtItaH' suggests a condition related to the urinary tract; however, without further definition, a precise ICD-11 mapping is difficult.  'Unspecified urinary tract infection' is the most likely broad category.",,,,,,,,
"AB12.1  Inflammatory skin disorders, unspecified",tvakpAkaH,EI-4.8,60%,"While a precise definition is lacking for 'tvakpAkaH', the vernacular term suggests a skin disorder ('tvak' implies skin, 'pAkaH' hints at inflammation or burning).  This makes inflammatory skin disorders the most plausible mapping, albeit with low confidence due to limited information.",,,,,,,,
Unspecified inflammatory skin disease of other specified sites,puShkarikA,EI-4.9,50%,"Without further details on the definition of 'puShkarikA', a general inflammatory skin condition is the most plausible ICD-11 mapping, acknowledging significant uncertainty due to limited information.",,,,,,,,
Inflammatory disease of the penis,mAMsapAkaH (meDhra),EI-4.10,90%,"The term 'māṃsapākaḥ (medhra)' suggests inflammation (pāka) of the penis (medhra) in the context of Ayurveda, which aligns with the broad category of inflammatory penile conditions within ICD-11, although a more specific code would require additional clinical details.",,,,,,,,
"Neoplasm of connective tissue, unspecified",mAMsArbudaH,EI-4.11,60%,"The term 'mAmsArbudaH' (मांसार्बुदः) translates to 'fleshy tumor' suggesting a neoplasm of connective tissue; however, without further clinical details, a precise specification is impossible, hence the lower confidence.",,,,,,,,
Haemangioma,SoNitArbudaH,EI-4.15,60%,"While lacking complete definitions,  'SoNitArbudaH' (शोणितार्बुदः) appearing to refer to a blood-related swelling suggests a possible connection to haemangioma, though further clinical details are needed for a more confident mapping.",,,,,,,,
Inflammatory skin disorder of other specified sites,sarShapikA,EI-4.16,60%,"Without further definition of 'sarShapikA',  a reasonable assumption based on the limited information is that it refers to a localized inflammatory skin condition, given the lack of specific symptoms; the confidence is low due to insufficient data.",,,,,,,,
Unspecified inflammatory skin disorder,saMmUDhapiDakA,EI-4.17,60%,"The lack of a definition for 'saMmUDhapiDakA' prevents precise mapping.  However,  'piDakA' suggests a skin lesion, and 'saMmUDha' might imply inflammation, thus suggesting a broad inflammatory skin condition.",,,,,,,,
Loss of sensation,sparSahAniH,EI-4.18,60%,"The Sanskrit term 'sparSahAniH' (स्पर्शहानिः) translates to 'loss of touch' or 'loss of sensation', which can encompass various neurological conditions, hence a broad ICD-11 mapping with moderate confidence.",,,,,,,,
Unspecified disorder of the eye,tarpaNa-apacAraH,SP,50%,"Without further details on the definition of 'tarpaNa-apacAraH',  a general ophthalmological disorder is the most plausible ICD-11 mapping given that 'tarpaṇa' often relates to eye treatments in Ayurveda.  This is a low-confidence mapping due to insufficient information.",,,,,,,,
"Infections of the male urethra, unspecified",upadaMSaH,SN30 (EI-5),90%,"The symptoms of painful urination, purulent urethral discharge, and urethral swelling described for 'upadaMSaH' directly correlate with the clinical presentation of male urethral infections as categorized in ICD-11, encompassing various etiologies mentioned in the long definition.",,,,,,,,
8A62 - Other specified disorders of penis and scrotum,vAtaja-upadaMSaH,EI-5.1,90%,"The description of 'vAtaja-upadaMSaH' encompassing penile oedema (mēḍhra śōphaḥ), skin cracking (tvakparipuṭanam), pain (vividhāḥ vātavēdanā, citrāḥ rujaḥ, bhēdaḥ, satōdaḥ), and blisters (kr̥ṣṇasphōṭaḥ) strongly suggests an inflammatory or infectious condition affecting the penis and scrotum, aligning best with 'Other specified disorders of penis and scrotum' in ICD-11.  The dryness and stiffness could indicate a variety of underlying causes, hence the non-specific ICD-11 selection.",,,,,,,,
Acute cellulitis,pittaja-upadaMSaH,EI-5.2,90%,"The symptoms described – fever (jvaraḥ), swelling resembling a ripe fig (pakvōḍumbarasaṅkāśa śvayathuḥ), severe burning (tīvradāhaḥ), quick suppuration (kṣiprapākaḥ), and excessive moistness (bahuklēdaḥ) – strongly suggest an acute, inflammatory skin infection consistent with acute cellulitis, aligning well with the ICD-11 definition.  The 'pitta' aspect points towards the inflammatory nature.",,,,,,,,
CH7.1  Other specified inflammatory skin disorders,kaPaja-upadaMSaH,EI-5.3,80%,"The description of kaPaja-upadaMSaH, encompassing swelling (śvayathuḥ), itching (kaṇḍūmān), and specific characteristics like coldness (śītalaḥ) and a white, dense discharge, points towards an inflammatory skin condition not fitting neatly into other more specific ICD-11 categories;  'Other specified inflammatory skin disorders' provides the best umbrella term.",,,,,,,,
"B30, Fournier's gangrene",sAnnipAtaja-upadaMSaH,EI-5.4,90%,"The description of  'sAnnipAtaja-upadaMSaH', including scrotal edema (muṣkaśvayathuḥ), severe pain (tīvrā ruk), rapid suppuration (āśupacanam), and potentially fatal outcome (maraṇaṁ), strongly suggests a severe, rapidly progressing necrotizing infection of the genitalia, consistent with Fournier's gangrene.  The mention of multiple symptoms points towards a severe, generalized infection, aligning with the severity of Fournier's gangrene.",,,,,,,,
"AB01.0, unspecified pyoderma gangrenosum",raktaja-upadaMSaH,EI-5.5,90%,"The described symptoms of 'raktaja-upadaMSaH' – black blisters (kr̥ṣṇasphōṭaprādurbhāvaḥ), severe bleeding (atyartham asr̥kpravr̥ttiḥ), and features resembling pyoderma gangrenosum (fever, burning sensation, dryness, fleshy appearance) strongly suggest this ICD-11 classification.  While the Ayurvedic context adds unique elements, the core clinical presentation aligns most closely with this diagnosis.",,,,,,,,
86.51- Other specified diseases of the penis and scrotum,asAdhya-upadaMSaH,EI-5.6,90%,"The description of 'asAdhya-upadaMSaH' points to significant tissue loss in the male genitalia due to an infestation (kr̥mi), consistent with severe, potentially unspecified, genital damage, best fitting within the 'Other specified diseases of the penis and scrotum' category of ICD-11.",,,,,,,,
86.5- Other specified infections of the male genital organs,upadaMSa-ariShTaH,EI-5.7,90%,"The symptoms described – oedema, worm infestation, burning sensation, inflammation/suppuration, and decaying of the penis – strongly suggest a severe genital infection, encompassing various possibilities not specifically detailed enough for a more precise ICD-11 code.  'Other specified infections' is the most encompassing and appropriate category given the available information.",,,,,,,,
Hydrocele,vRuddhiH,SN01 (EI-6),90%,"The Ayurvedic term 'vRuddhiH', describing fluid accumulation in the scrotum with potential pain and an imbalance of doshas (pitta, vata, kapha), directly correlates with the clinical presentation of a hydrocele as defined in ICD-11.",Tantira Veṭṭi Vātam,Z60,95%,"The Siddha term 'Tantira Veṭṭi Vātam' explicitly describes hydrocele, the accumulation of fluid in the scrotum, aligning perfectly with the ICD-11 definition of hydrocele; the additional symptoms mentioned are consistent with complications or associated conditions.",Qīla Mā’iyya Kīsī,H-28.3,95%,"The Unani term 'Qīla Mā’iyya Kīsī' describes an encysted hydrocele, a collection of fluid in a sac, directly corresponding to the ICD-11 definition of hydrocele, which encompasses various types including encysted forms."
Precancerous lesion of unspecified site,vRuddhi-pUrvarUpam,EI-6.1,50%,"The term 'vRuddhi-pUrvarUpam' suggests a precancerous state or a condition preceding the development of a disease,  lacking further context necessitates a broad ICD-11 mapping, hence the low confidence.",,,,,,,,
"Disorders of the nervous system, not elsewhere classified",vicCinnaH,MD-9 (SK9A),60%,"The lack of a definition for 'vicCinnaH' (विच्छिन्नः) prevents precise ICD-11 mapping.  However,  'vicCinnaH' suggests a disruption or discontinuity, potentially relating to neurological issues not specifically categorized elsewhere in ICD-11.",,,,,,,,
"Disorders of gallbladder, biliary tract and pancreas",pittaja-vRuddhiH,EI-6.3 (SN3Y),70%,"Pittaja-vruddhi, signifying an increase in Pitta dosha, often manifests with symptoms related to the liver and gallbladder, such as jaundice, inflammation, and digestive issues, aligning broadly with ICD-11 categories related to these organs.  More specific ICD-11 codes would require detailed symptom descriptions.",,,,,,,,
Respiratory system disorders,kaPaja-vRuddhiH,EI-6.4 (SN3Y),60%,"The term 'kaPaja-vRuddhiH' (कफज-वृद्धिः) refers to an increase in Kapha, one of the three doshas in Ayurveda, associated with phlegm and mucus.  This broadly relates to various respiratory conditions included under the ICD-11 category 'Respiratory system disorders', although a more specific ICD-11 code requires further clinical details.",,,,,,,,
Increased blood volume,raktaja-vRuddhiH,EI-6.5 (SN0Y),60%,"While 'raktaja-vRuddhiH' (रक्तज-वृद्धिः) literally translates to 'increase in blood',  lack of detailed definition prevents precise ICD-11 mapping.  Increased blood volume is the closest general match, though a specific condition like polycythemia vera might be more accurate with additional clinical information.",,,,,,,,
Increased urinary output,mUtraja-vRuddhiH,EI-6.7 (SN0Y),90%,"The term 'mUtraja-vRuddhiH' directly translates to 'increased urine production', aligning precisely with the clinical manifestation often associated with various conditions categorized under 'Increased urinary output' within ICD-11, though the specific cause requires further investigation.",,,,,,,,
Hernia,antra-vRuddhiH,SM3G (EI-6.8),90%,"'Antra-vRuddhiH' describes the protrusion of an organ through an abnormal opening, directly corresponding to the definition of a hernia in ICD-11; the mention of lax abdominal muscles supports this mapping.",,,,,Fatq,M-39,95%,"The Unani term 'Fatq' (فتق), meaning hernia, and its provided definition of an organ's protrusion through an abnormal opening in the abdominal cavity, directly corresponds to the ICD-11 category encompassing various types of hernias."
Ovarian cyst,aNDa-vRuddhiH,EI-6.9 (SN0Y),90%,"The Sanskrit term 'aNDa-vRuddhiH' (अण्ड-वृद्धिः) translates to 'ovarian enlargement', which directly points to an ovarian cyst as the most likely corresponding ICD-11 category, encompassing various types of ovarian cysts.",,,,,,,,
Disorders of the urinary system,mUtravahasrotovikAraH,EJ,60%,"The term 'mUtravahasrotovikAraH' directly translates to 'disorders of the urinary channels/system' in Ayurveda,  making 'Disorders of the urinary system' a plausible, albeit broad, ICD-11 category; more specific ICD-11 codes require further clinical detail.",,,,,,,,
Disorders of urethra and penis,mUtravahasrotoduShTiH,SR5B (EJ-1),90%,"The Ayurvedic term 'mUtravahasrotoduShTiH', describing a burning sensation in the penis due to deranged urine channels, points most accurately to urethral or penile disorders within the ICD-11 classification.",,,,,,,,
Kidney stone,aSmarI-pUrvarUpam,EJ-2.1,60%,"The term 'aSmarI-pUrvarUpam' (अश्मरी-पूर्वरूपम्), translating to 'pre-stone stage', suggests a condition preceding the formation of kidney stones, making 'Kidney stone' (which encompasses the pre-stone stage in its pathological progression) a plausible, albeit not definitively precise, ICD-11 mapping given the limited information.",,,,,Qūlanj Kulwī,F-92.13,95%,"The Unani term 'Qūlanj Kulwī' explicitly describes renal colic caused by kidney stones, directly corresponding to the ICD-11 category encompassing nephrolithiasis and related conditions."
"Neoplasm of urinary system, unspecified",asAdhya-aSmarI,EJ-2.6,60%,"The term 'asAdhya-aSmarI' translates to 'incurable stone disease,' suggesting a urinary stone that has progressed significantly, potentially to the point of being cancerous; however, without further clinical details, a precise diagnosis cannot be made, hence the moderate confidence.",,,,,,,,
Diabetic nephropathy,SarkarASmarI-upadravaH,EJ-2.7.1,90%,"The term 'SarkarASmarI-upadravaH' (शर्कराश्मरी-उपद्रवः) translates to complications of diabetes, with 'SarkarA' referring to sugar (diabetes) and 'AsmarI' likely relating to urinary stones or kidney issues; 'upadravaH' signifies complications.  Diabetic nephropathy is a common and serious complication fitting this description.",,,,,,,,
Urinary retention,mUtrAghAtaH,SM82 (EJ-3),90%,"The Ayurvedic term 'mUtrAghAtaH', describing urine obstruction, retention, dribbling, and associated pain/burning, directly maps to the clinical presentation of Urinary retention in ICD-11, encompassing the symptoms described.",Vaḷi,XBA,90%,"The Siddha term 'Vali' describes an obstruction of urine, which directly corresponds to the clinical presentation of urinary retention as defined in ICD-11.  The vernacular term further supports this mapping.",,,,
Other specified disorders of urination,avikRuta-mUtrakarmaH,VC-9,90%,"The description of 'avikRuta-mUtrakarmaH' focusing on bladder filling (bastipūraṇam) and moistening (viklēdanam/klēdavāhanam) points towards a functional urinary disorder not fitting neatly into other specific ICD-11 categories, thus suggesting 'Other specified disorders of urination' as the most appropriate broad classification.",,,,,Sur‘a Infiqā’ al-Zabad,O-122,90%,"The description 'rapid bursting of urine bubbles' points to a functional abnormality of urination not explicitly categorized elsewhere, fitting the broad 'Other specified disorders of urination' category within ICD-11, encompassing unusual presentations not fitting into more precise categories."
Reduced urine volume,mUtrakShayaH/mUtrasaMkShayaH,SM8E (EJ-3.4),90%,"The Ayurvedic term 'mUtrakShayaH/mUtrasaMkShayaH', meaning reduced urine output, directly corresponds to the clinical presentation associated with reduced urine volume, a symptom that can be indicative of various conditions covered under broader ICD-11 categories, but lacks sufficient detail for a more specific diagnosis.",,,,,,,,
"Disorders of the urinary system, not elsewhere classified",mUtragranthiH/raktagranthiH,EJ-3.10 (SM8Y),60%,"The term 'mUtragranthiH' translates to urinary gland, suggesting a disorder related to the urinary system; 'raktagranthiH' (blood gland) might also indicate a related issue, but more information is needed for precise classification.  Lack of detailed definitions limits confidence.",,,,,,,,
"6E00, Nocturnal emissions and other ejaculations",mUtraSukraH,SN09 (EJ-3.11),90%,"The Ayurvedic term 'mUtraSukraH' describes uncontrolled semen emission, often associated with urination, closely matching the ICD-11 category 'Nocturnal emissions and other ejaculations' which encompasses involuntary ejaculations, including those potentially triggered by urinary stimuli as suggested by the 'Vitiated vata' explanation.",,,,,,,,
"Disorders of the genitalia, unspecified",viD-vighAtaH,EJ-3.12 (SM52),60%,"Without further information on the definitions of  'viD-vighAtaH' and its Ayurvedic context,  'viD' (meaning 'seed' or related to semen) and 'vighAtaH' (meaning 'obstruction' or 'disorder') suggest a possible genital disorder, lacking more specific details for a precise ICD-11 match.",,,,,,,,
Unspecified disorder of the rectum and anus,bastikuNDalaH,EJ-3.13 (SM82),60%,"Without further information on the definitions of 'bastikuNDalaH' and its Ayurvedic context,  a general mapping to rectal or anal disorders is the most cautious and broadly applicable ICD-11 category given the term's apparent relation to the 'basti' (rectum/colon) region.",,,,,,,,
Cholecystitis,paittika-bastikuNDalaH,EJ-3.13.1,60%,"The term 'paittika-bastikuNDalaH' suggests an Ayurvedic condition related to Pitta dosha affecting the Basti (colon/intestines).  While not a direct equivalent, cholecystitis, involving inflammation of the gallbladder (related to bile/Pitta), is a plausible  ICD-11 mapping given the limited information.",,,,,,,,
8A00-Other specified disorders of the digestive system,kaPajabastikuNDalaH,EJ-3.13.2,60%,"While a precise definition is lacking, 'kaPajabastikuNDalaH' suggests a digestive disorder involving Kapha (Ayurvedic dosha related to mucus and water) and the intestines ('basti' referring to colon or abdomen).  This warrants a broad mapping to a category encompassing unspecified digestive issues.",,,,,,,,
Trauma-related urinary tract injury,aBighAtajamUtrAghAtaH,EJ-3.14,90%,"The vernacular term अभिघातजमूत्राघातः (aBighAtajamUtrAghAtaH) directly translates to 'injury to the urinary tract due to trauma', aligning closely with the ICD-11 category encompassing trauma-related urinary complications.",,,,,,,,
"NE11.1, painful urination in male,",vAtajamUtrakRucCram,EJ-4.1,90%,"The symptoms described in the long definition, particularly the severe pain in the genital and urinary regions (inguinal, bladder, penis, scrotum) alongside dysuria (difficulty and frequency of urination), strongly suggest NE11.1 as the most fitting ICD-11 code, despite the Ayurvedic etiology.",,,,,,,,
Lower urinary tract infection,sAnnipAtamUtrakRucCram,EJ-4.4,90%,"The symptoms described – burning sensation (dāhaḥ), frequent urination (muhurmuhuḥ mūtrapravr̥ttiḥ), dysuria (kr̥chrēṇa mēhati), and variously colored urine (nānāvarṇaḥ) – strongly indicate a lower urinary tract infection, aligning with ICD-11 criteria.",Aẕal,XDB,90%,"The Siddha term 'Aẕal' (அழல்), clearly defined as a urinary tract infection, directly maps to the ICD-11 category encompassing lower urinary tract infections,  given the specific mention of urinary tract involvement.",,,,
